Image,Prediction,Confidence
/mnt/lake/VBags/140106/frame0127.jpg,Winter,0.9995
/mnt/lake/VBags/140106/frame0008.jpg,Winter,0.967
/mnt/lake/VBags/140106/frame0038.jpg,Winter,0.9224
/mnt/lake/VBags/140106/frame0018.jpg,Winter,0.964
/mnt/lake/VBags/140106/frame0034.jpg,Winter,0.959
/mnt/lake/VBags/140106/frame0035.jpg,Winter,0.96
/mnt/lake/VBags/140106/frame0128.jpg,Winter,0.997
/mnt/lake/VBags/140106/frame0009.jpg,Winter,0.9717
/mnt/lake/VBags/140106/frame0013.jpg,Winter,0.9155
/mnt/lake/VBags/140106/frame0036.jpg,Winter,0.961
/mnt/lake/VBags/140106/frame0161.jpg,Winter,0.9873
/mnt/lake/VBags/140106/frame0276.jpg,Winter,0.9775
/mnt/lake/VBags/140106/frame0368.jpg,Winter,0.9834
/mnt/lake/VBags/140106/frame0285.jpg,Winter,0.933
/mnt/lake/VBags/140106/frame0317.jpg,Winter,0.985
/mnt/lake/VBags/140106/frame0330.jpg,Winter,0.996
/mnt/lake/VBags/140106/frame0371.jpg,Winter,0.917
/mnt/lake/VBags/140106/frame0338.jpg,Winter,0.963
/mnt/lake/VBags/140106/frame0294.jpg,Winter,0.964
/mnt/lake/VBags/140106/frame0301.jpg,Winter,0.994
/mnt/lake/VBags/140106/frame0259.jpg,Winter,0.9966
/mnt/lake/VBags/140106/frame0349.jpg,Winter,0.995
/mnt/lake/VBags/140106/frame0325.jpg,Winter,0.9927
/mnt/lake/VBags/140106/frame0358.jpg,Winter,0.998
/mnt/lake/VBags/140106/frame0321.jpg,Winter,0.9897
/mnt/lake/VBags/140106/frame0360.jpg,Winter,0.996
/mnt/lake/VBags/140106/frame0350.jpg,Winter,0.999
/mnt/lake/VBags/140106/frame0385.jpg,Winter,0.9985
/mnt/lake/VBags/140106/frame0327.jpg,Winter,0.9893
/mnt/lake/VBags/140106/frame0322.jpg,Winter,0.989
/mnt/lake/VBags/140106/frame0081.jpg,Winter,0.9985
/mnt/lake/VBags/140106/frame0076.jpg,Winter,0.97
/mnt/lake/VBags/140106/frame0156.jpg,Winter,0.9766
/mnt/lake/VBags/140106/frame0273.jpg,Winter,0.9976
/mnt/lake/VBags/140106/frame0079.jpg,Winter,0.9824
/mnt/lake/VBags/140106/frame0155.jpg,Winter,0.9863
/mnt/lake/VBags/140106/frame0141.jpg,Winter,0.97
/mnt/lake/VBags/140106/frame0154.jpg,Winter,0.997
/mnt/lake/VBags/140106/frame0084.jpg,Winter,0.9907
/mnt/lake/VBags/140106/frame0113.jpg,Winter,0.9795
/mnt/lake/VBags/140117/frame0055.jpg,Winter,0.946
/mnt/lake/VBags/140117/frame0061.jpg,Winter,0.83
/mnt/lake/VBags/140117/frame0035.jpg,Winter,0.978
/mnt/lake/VBags/140117/frame0000.jpg,Winter,0.971
/mnt/lake/VBags/140117/frame0086.jpg,Winter,0.9614
/mnt/lake/VBags/140117/frame0058.jpg,Winter,0.9873
/mnt/lake/VBags/140117/frame0243.jpg,Winter,0.9634
/mnt/lake/VBags/140117/frame0183.jpg,Winter,0.9736
